page,burst_time
P0,17
P1,18
P2,7
P3,13
P4,7
P5,2
P6,6
P7,6
P8,8
P9,1
P10,18
P11,13
P12,16
P13,18
P14,11
P15,3
P16,2
P17,19
P18,10
P19,6
P20,15
P21,16
P22,2
P23,20
P24,3
P25,12
P26,13
P27,10
P28,2
P29,18
P30,11
P31,1
P32,4
P33,10
P34,19
P35,6
P36,8
P37,5
P38,12
P39,4
P40,2
P41,9
P42,8
P43,3
P44,2
P45,5
P46,8
P47,13
P48,10
P49,2
P50,2
P51,15
P52,5
P53,10
P54,12
P55,12
P56,3
P57,9
P58,12
P59,7
P60,13
P61,10
P62,12
P63,12
P64,8
P65,8
P66,6
P67,14
P68,1
P69,17
P70,17
P71,9
P72,17
P73,4
P74,18
P75,5
P76,18
P77,16
P78,10
P79,17
P80,12
P81,19
P82,14
P83,20
P84,4
P85,3
P86,6
P87,13
P88,4
P89,9
P90,9
P91,4
P92,2
P93,17
P94,19
P95,18
P96,19
P97,20
P98,7
P99,1
