page,burst_time
P0,7
P1,20
P2,9
P3,19
P4,17
P5,9
P6,13
P7,3
P8,15
P9,18
P10,18
P11,14
P12,20
P13,4
P14,18
P15,17
P16,10
P17,19
P18,20
P19,1
P20,20
P21,10
P22,18
P23,1
P24,1
P25,8
P26,4
P27,14
P28,19
P29,20
P30,6
P31,19
P32,8
P33,10
P34,9
P35,20
P36,10
P37,20
P38,12
P39,20
P40,12
P41,20
P42,6
P43,11
P44,12
P45,5
P46,4
P47,4
P48,5
P49,16
P50,13
P51,20
P52,7
P53,15
P54,18
P55,5
P56,18
P57,10
P58,1
P59,3
P60,3
P61,15
P62,15
P63,1
P64,7
P65,6
P66,11
P67,20
P68,1
P69,19
P70,3
P71,20
P72,16
P73,18
P74,12
P75,20
P76,7
P77,20
P78,17
P79,7
P80,13
P81,2
P82,14
P83,16
P84,4
P85,6
P86,10
P87,19
P88,20
P89,15
P90,20
P91,2
P92,13
P93,2
P94,14
P95,8
P96,12
P97,6
P98,12
P99,20
