page,burst_time
P0,15
P1,18
P2,13
P3,14
P4,10
P5,8
P6,3
P7,4
P8,11
P9,4
P10,6
P11,14
P12,17
P13,2
P14,3
P15,6
P16,4
P17,8
P18,14
P19,7
P20,17
P21,17
P22,18
P23,13
P24,14
P25,20
P26,1
P27,13
P28,10
P29,4
P30,7
P31,19
P32,19
P33,15
P34,13
P35,7
P36,9
P37,13
P38,13
P39,1
P40,17
P41,19
P42,12
P43,2
P44,11
P45,15
P46,19
P47,19
P48,2
P49,16
P50,10
P51,3
P52,2
P53,11
P54,4
P55,10
P56,10
P57,12
P58,2
P59,7
P60,18
P61,8
P62,3
P63,1
P64,11
P65,15
P66,12
P67,13
P68,6
P69,5
P70,20
P71,19
P72,2
P73,10
P74,4
P75,1
P76,5
P77,17
P78,14
P79,19
P80,4
P81,7
P82,17
P83,18
P84,8
P85,20
P86,9
P87,3
P88,11
P89,2
P90,6
P91,4
P92,4
P93,14
P94,20
P95,11
P96,1
P97,8
P98,13
P99,6
