page,burst_time
P0,16
P1,8
P2,14
P3,12
P4,9
P5,15
P6,16
P7,3
P8,6
P9,4
P10,8
P11,16
P12,8
P13,10
P14,4
P15,9
P16,17
P17,19
P18,9
P19,11
P20,15
P21,9
P22,17
P23,13
P24,1
P25,15
P26,9
P27,6
P28,17
P29,7
P30,7
P31,4
P32,2
P33,12
P34,4
P35,2
P36,7
P37,12
P38,11
P39,8
P40,7
P41,17
P42,6
P43,6
P44,19
P45,20
P46,20
P47,1
P48,16
P49,2
P50,15
P51,14
P52,14
P53,11
P54,17
P55,18
P56,15
P57,19
P58,2
P59,1
P60,3
P61,3
P62,20
P63,6
P64,10
P65,19
P66,13
P67,2
P68,5
P69,10
P70,6
P71,11
P72,6
P73,11
P74,11
P75,16
P76,8
P77,19
P78,15
P79,10
P80,14
P81,7
P82,6
P83,19
P84,20
P85,14
P86,10
P87,15
P88,18
P89,10
P90,2
P91,17
P92,11
P93,5
P94,11
P95,2
P96,1
P97,10
P98,4
P99,3
