page,burst_time
P0,6
P1,19
P2,2
P3,8
P4,6
P5,5
P6,17
P7,12
P8,11
P9,1
P10,19
P11,9
P12,20
P13,11
P14,16
P15,18
P16,6
P17,19
P18,18
P19,13
P20,2
P21,7
P22,12
P23,2
P24,15
P25,9
P26,2
P27,18
P28,10
P29,3
P30,6
P31,20
P32,13
P33,13
P34,8
P35,11
P36,20
P37,11
P38,6
P39,17
P40,19
P41,15
P42,12
P43,16
P44,15
P45,19
P46,2
P47,3
P48,9
P49,13
P50,14
P51,14
P52,13
P53,20
P54,8
P55,14
P56,20
P57,12
P58,1
P59,11
P60,1
P61,14
P62,7
P63,11
P64,1
P65,1
P66,16
P67,12
P68,20
P69,12
P70,20
P71,17
P72,13
P73,7
P74,4
P75,12
P76,2
P77,2
P78,15
P79,6
P80,16
P81,15
P82,1
P83,2
P84,6
P85,11
P86,7
P87,6
P88,4
P89,17
P90,15
P91,20
P92,6
P93,5
P94,9
P95,16
P96,5
P97,11
P98,2
P99,1
