page,burst_time
P0,6
P1,17
P2,19
P3,14
P4,19
P5,17
P6,3
P7,4
P8,8
P9,12
P10,5
P11,19
P12,13
P13,3
P14,8
P15,6
P16,16
P17,13
P18,1
P19,6
P20,2
P21,6
P22,10
P23,9
P24,12
P25,1
P26,7
P27,19
P28,7
P29,8
P30,15
P31,6
P32,14
P33,20
P34,17
P35,2
P36,16
P37,15
P38,11
P39,7
P40,13
P41,7
P42,1
P43,19
P44,14
P45,5
P46,5
P47,3
P48,13
P49,18
P50,16
P51,16
P52,7
P53,20
P54,7
P55,18
P56,19
P57,10
P58,4
P59,20
P60,7
P61,6
P62,12
P63,15
P64,17
P65,13
P66,19
P67,14
P68,20
P69,9
P70,2
P71,20
P72,17
P73,12
P74,6
P75,7
P76,11
P77,15
P78,9
P79,16
P80,5
P81,17
P82,5
P83,5
P84,7
P85,6
P86,20
P87,15
P88,15
P89,4
P90,9
P91,15
P92,3
P93,14
P94,18
P95,12
P96,4
P97,16
P98,4
P99,3
