page,burst_time
P0,8
P1,10
P2,20
P3,18
P4,10
P5,16
P6,14
P7,14
P8,18
P9,7
P10,18
P11,7
P12,12
P13,19
P14,1
P15,8
P16,13
P17,16
P18,9
P19,1
P20,8
P21,19
P22,17
P23,7
P24,4
P25,12
P26,18
P27,18
P28,17
P29,15
P30,19
P31,13
P32,7
P33,8
P34,6
P35,15
P36,11
P37,14
P38,13
P39,6
P40,14
P41,12
P42,10
P43,1
P44,17
P45,13
P46,3
P47,19
P48,6
P49,9
P50,12
P51,17
P52,8
P53,18
P54,5
P55,16
P56,9
P57,14
P58,10
P59,7
P60,13
P61,1
P62,17
P63,5
P64,5
P65,14
P66,6
P67,5
P68,20
P69,5
P70,17
P71,2
P72,16
P73,1
P74,12
P75,12
P76,10
P77,14
P78,10
P79,17
P80,20
P81,13
P82,6
P83,19
P84,5
P85,1
P86,10
P87,15
P88,6
P89,16
P90,14
P91,12
P92,13
P93,3
P94,2
P95,5
P96,19
P97,4
P98,9
P99,17
