page,burst_time
P0,4
P1,19
P2,13
P3,18
P4,2
P5,12
P6,15
P7,4
P8,8
P9,4
P10,3
P11,3
P12,19
P13,6
P14,5
P15,20
P16,4
P17,19
P18,17
P19,15
P20,4
P21,19
P22,6
P23,15
P24,5
P25,11
P26,9
P27,15
P28,5
P29,2
P30,13
P31,18
P32,15
P33,4
P34,8
P35,6
P36,13
P37,16
P38,11
P39,9
P40,3
P41,19
P42,1
P43,5
P44,12
P45,18
P46,13
P47,5
P48,11
P49,17
P50,9
P51,8
P52,3
P53,14
P54,4
P55,3
P56,6
P57,5
P58,7
P59,11
P60,3
P61,9
P62,2
P63,13
P64,8
P65,16
P66,1
P67,15
P68,12
P69,4
P70,12
P71,15
P72,8
P73,8
P74,12
P75,7
P76,8
P77,6
P78,18
P79,15
P80,2
P81,20
P82,7
P83,3
P84,13
P85,19
P86,13
P87,7
P88,8
P89,17
P90,17
P91,3
P92,18
P93,8
P94,1
P95,20
P96,13
P97,6
P98,14
P99,12
