page,burst_time
P0,1
P1,17
P2,13
P3,15
P4,8
P5,20
P6,19
P7,6
P8,16
P9,6
P10,15
P11,1
P12,1
P13,8
P14,18
P15,8
P16,5
P17,2
P18,9
P19,3
P20,15
P21,19
P22,17
P23,9
P24,3
P25,17
P26,8
P27,17
P28,6
P29,10
P30,3
P31,19
P32,10
P33,1
P34,17
P35,1
P36,20
P37,14
P38,15
P39,16
P40,4
P41,15
P42,3
P43,5
P44,17
P45,15
P46,2
P47,8
P48,7
P49,8
P50,8
P51,5
P52,15
P53,5
P54,17
P55,11
P56,11
P57,6
P58,6
P59,6
P60,8
P61,9
P62,2
P63,11
P64,14
P65,5
P66,17
P67,12
P68,4
P69,6
P70,8
P71,12
P72,2
P73,18
P74,9
P75,11
P76,15
P77,16
P78,6
P79,18
P80,1
P81,9
P82,4
P83,2
P84,6
P85,2
P86,20
P87,10
P88,3
P89,9
P90,10
P91,5
P92,5
P93,18
P94,2
P95,18
P96,13
P97,1
P98,20
P99,17
