page,burst_time
P0,10
P1,4
P2,1
P3,1
P4,18
P5,3
P6,4
P7,15
P8,20
P9,4
P10,18
P11,19
P12,12
P13,13
P14,13
P15,5
P16,5
P17,5
P18,2
P19,5
P20,3
P21,6
P22,7
P23,15
P24,4
P25,20
P26,3
P27,15
P28,14
P29,12
P30,6
P31,20
P32,16
P33,13
P34,17
P35,14
P36,11
P37,2
P38,16
P39,2
P40,13
P41,13
P42,7
P43,1
P44,15
P45,14
P46,8
P47,7
P48,4
P49,6
P50,14
P51,7
P52,9
P53,1
P54,13
P55,8
P56,20
P57,16
P58,15
P59,5
P60,7
P61,19
P62,8
P63,4
P64,6
P65,5
P66,11
P67,19
P68,1
P69,2
P70,2
P71,1
P72,15
P73,9
P74,7
P75,18
P76,20
P77,6
P78,7
P79,12
P80,15
P81,17
P82,2
P83,20
P84,13
P85,9
P86,13
P87,7
P88,18
P89,9
P90,20
P91,19
P92,10
P93,1
P94,1
P95,14
P96,15
P97,7
P98,3
P99,17
