page,burst_time
P0,9
P1,6
P2,5
P3,18
P4,7
P5,2
P6,2
P7,16
P8,1
P9,10
P10,4
P11,5
P12,16
P13,6
P14,8
P15,20
P16,18
P17,9
P18,17
P19,7
P20,12
P21,6
P22,5
P23,3
P24,15
P25,3
P26,3
P27,15
P28,19
P29,7
P30,14
P31,3
P32,1
P33,17
P34,18
P35,11
P36,18
P37,7
P38,19
P39,3
P40,15
P41,13
P42,17
P43,9
P44,18
P45,13
P46,17
P47,19
P48,10
P49,17
P50,12
P51,13
P52,20
P53,15
P54,6
P55,3
P56,17
P57,12
P58,20
P59,12
P60,16
P61,10
P62,5
P63,7
P64,3
P65,12
P66,5
P67,11
P68,4
P69,12
P70,16
P71,6
P72,1
P73,20
P74,8
P75,1
P76,2
P77,7
P78,11
P79,11
P80,11
P81,8
P82,13
P83,2
P84,12
P85,14
P86,12
P87,16
P88,16
P89,16
P90,20
P91,7
P92,14
P93,16
P94,2
P95,15
P96,8
P97,3
P98,16
P99,9
