page,burst_time
P0,12
P1,18
P2,20
P3,1
P4,18
P5,11
P6,5
P7,1
P8,20
P9,6
P10,13
P11,8
P12,13
P13,10
P14,8
P15,2
P16,10
P17,15
P18,13
P19,3
P20,16
P21,9
P22,18
P23,6
P24,1
P25,1
P26,9
P27,3
P28,19
P29,16
P30,14
P31,2
P32,17
P33,8
P34,8
P35,14
P36,3
P37,11
P38,12
P39,17
P40,4
P41,17
P42,17
P43,3
P44,17
P45,13
P46,15
P47,13
P48,4
P49,1
P50,9
P51,2
P52,18
P53,17
P54,18
P55,5
P56,8
P57,3
P58,2
P59,19
P60,15
P61,18
P62,16
P63,19
P64,2
P65,1
P66,1
P67,6
P68,4
P69,18
P70,20
P71,10
P72,16
P73,4
P74,11
P75,11
P76,12
P77,6
P78,12
P79,4
P80,10
P81,5
P82,9
P83,15
P84,7
P85,19
P86,10
P87,6
P88,11
P89,16
P90,14
P91,6
P92,16
P93,4
P94,16
P95,5
P96,4
P97,12
P98,16
P99,1
