page,burst_time
P0,5
P1,7
P2,11
P3,19
P4,20
P5,1
P6,2
P7,20
P8,4
P9,9
P10,10
P11,5
P12,11
P13,6
P14,8
P15,19
P16,12
P17,18
P18,8
P19,1
P20,16
P21,14
P22,9
P23,3
P24,16
P25,10
P26,2
P27,13
P28,16
P29,1
P30,7
P31,9
P32,8
P33,20
P34,4
P35,8
P36,11
P37,11
P38,17
P39,13
P40,2
P41,9
P42,17
P43,4
P44,9
P45,11
P46,5
P47,2
P48,2
P49,13
P50,5
P51,7
P52,2
P53,20
P54,16
P55,17
P56,18
P57,18
P58,7
P59,7
P60,6
P61,11
P62,11
P63,4
P64,8
P65,6
P66,20
P67,9
P68,14
P69,16
P70,19
P71,16
P72,18
P73,14
P74,5
P75,12
P76,15
P77,2
P78,17
P79,13
P80,14
P81,9
P82,18
P83,10
P84,8
P85,19
P86,17
P87,12
P88,17
P89,15
P90,4
P91,20
P92,3
P93,19
P94,19
P95,15
P96,16
P97,10
P98,3
P99,14
