page,burst_time
P0,1
P1,6
P2,20
P3,13
P4,1
P5,14
P6,6
P7,11
P8,3
P9,5
P10,9
P11,9
P12,11
P13,19
P14,16
P15,4
P16,14
P17,5
P18,6
P19,7
P20,17
P21,20
P22,4
P23,19
P24,6
P25,7
P26,2
P27,10
P28,6
P29,13
P30,9
P31,17
P32,10
P33,11
P34,15
P35,3
P36,5
P37,12
P38,14
P39,11
P40,2
P41,4
P42,18
P43,13
P44,15
P45,6
P46,1
P47,11
P48,15
P49,13
P50,2
P51,14
P52,2
P53,3
P54,2
P55,11
P56,19
P57,8
P58,1
P59,9
P60,1
P61,17
P62,11
P63,12
P64,16
P65,6
P66,17
P67,11
P68,5
P69,14
P70,3
P71,14
P72,8
P73,19
P74,6
P75,7
P76,15
P77,6
P78,7
P79,3
P80,14
P81,2
P82,4
P83,11
P84,17
P85,15
P86,11
P87,15
P88,3
P89,8
P90,18
P91,4
P92,15
P93,10
P94,19
P95,6
P96,5
P97,3
P98,16
P99,14
