page,burst_time
P0,16
P1,7
P2,20
P3,2
P4,4
P5,18
P6,1
P7,4
P8,10
P9,14
P10,9
P11,16
P12,20
P13,17
P14,14
P15,5
P16,12
P17,3
P18,18
P19,20
P20,3
P21,18
P22,17
P23,13
P24,16
P25,7
P26,18
P27,1
P28,6
P29,16
P30,3
P31,11
P32,12
P33,14
P34,20
P35,1
P36,8
P37,19
P38,17
P39,3
P40,19
P41,6
P42,9
P43,2
P44,6
P45,3
P46,3
P47,6
P48,15
P49,19
P50,4
P51,5
P52,15
P53,8
P54,10
P55,19
P56,4
P57,12
P58,12
P59,10
P60,13
P61,16
P62,5
P63,17
P64,15
P65,1
P66,10
P67,2
P68,16
P69,7
P70,2
P71,3
P72,14
P73,13
P74,14
P75,7
P76,18
P77,9
P78,2
P79,19
P80,14
P81,19
P82,6
P83,4
P84,18
P85,8
P86,6
P87,14
P88,5
P89,6
P90,13
P91,7
P92,3
P93,14
P94,7
P95,14
P96,1
P97,15
P98,18
P99,10
