page,burst_time
P0,15
P1,18
P2,19
P3,10
P4,18
P5,14
P6,8
P7,9
P8,12
P9,12
P10,11
P11,6
P12,12
P13,4
P14,7
P15,6
P16,16
P17,11
P18,3
P19,15
P20,6
P21,1
P22,8
P23,15
P24,8
P25,5
P26,7
P27,14
P28,14
P29,9
P30,11
P31,14
P32,15
P33,4
P34,6
P35,8
P36,19
P37,11
P38,19
P39,5
P40,8
P41,18
P42,15
P43,7
P44,6
P45,15
P46,5
P47,12
P48,16
P49,15
P50,6
P51,14
P52,6
P53,2
P54,9
P55,20
P56,17
P57,19
P58,10
P59,20
P60,16
P61,9
P62,13
P63,9
P64,6
P65,19
P66,9
P67,2
P68,16
P69,19
P70,4
P71,20
P72,12
P73,7
P74,5
P75,11
P76,13
P77,2
P78,17
P79,15
P80,3
P81,2
P82,9
P83,1
P84,19
P85,9
P86,18
P87,13
P88,4
P89,16
P90,3
P91,10
P92,18
P93,1
P94,4
P95,11
P96,18
P97,15
P98,17
P99,19
