page,burst_time
P0,19
P1,4
P2,13
P3,6
P4,14
P5,9
P6,17
P7,7
P8,2
P9,14
P10,2
P11,6
P12,20
P13,15
P14,7
P15,11
P16,17
P17,16
P18,13
P19,18
P20,13
P21,9
P22,16
P23,9
P24,8
P25,12
P26,2
P27,19
P28,20
P29,1
P30,13
P31,3
P32,13
P33,3
P34,4
P35,8
P36,13
P37,6
P38,3
P39,11
P40,14
P41,14
P42,15
P43,12
P44,9
P45,20
P46,17
P47,14
P48,17
P49,15
P50,15
P51,19
P52,11
P53,8
P54,13
P55,12
P56,18
P57,4
P58,4
P59,7
P60,10
P61,1
P62,16
P63,6
P64,3
P65,14
P66,17
P67,4
P68,10
P69,6
P70,2
P71,18
P72,7
P73,15
P74,1
P75,7
P76,1
P77,13
P78,1
P79,15
P80,15
P81,3
P82,18
P83,3
P84,17
P85,4
P86,6
P87,20
P88,19
P89,1
P90,11
P91,17
P92,18
P93,12
P94,4
P95,1
P96,12
P97,2
P98,20
P99,17
