page,burst_time
P0,6
P1,15
P2,18
P3,10
P4,4
P5,9
P6,2
P7,2
P8,2
P9,10
P10,15
P11,14
P12,15
P13,13
P14,2
P15,9
P16,14
P17,13
P18,5
P19,11
P20,5
P21,8
P22,18
P23,11
P24,7
P25,16
P26,3
P27,5
P28,13
P29,8
P30,17
P31,9
P32,12
P33,13
P34,12
P35,2
P36,2
P37,15
P38,12
P39,18
P40,14
P41,16
P42,8
P43,7
P44,8
P45,17
P46,12
P47,6
P48,11
P49,18
P50,10
P51,17
P52,12
P53,14
P54,14
P55,9
P56,8
P57,5
P58,1
P59,3
P60,13
P61,5
P62,2
P63,4
P64,8
P65,13
P66,18
P67,19
P68,7
P69,6
P70,15
P71,3
P72,2
P73,7
P74,12
P75,11
P76,20
P77,13
P78,4
P79,1
P80,7
P81,19
P82,6
P83,5
P84,16
P85,8
P86,15
P87,15
P88,18
P89,1
P90,20
P91,10
P92,8
P93,1
P94,2
P95,13
P96,7
P97,4
P98,4
P99,3
