page,burst_time
P0,19
P1,7
P2,9
P3,8
P4,15
P5,14
P6,11
P7,2
P8,2
P9,9
P10,4
P11,7
P12,7
P13,1
P14,13
P15,17
P16,7
P17,5
P18,10
P19,1
P20,6
P21,8
P22,4
P23,6
P24,3
P25,14
P26,3
P27,4
P28,7
P29,12
P30,8
P31,14
P32,16
P33,1
P34,7
P35,20
P36,3
P37,2
P38,20
P39,14
P40,9
P41,19
P42,9
P43,5
P44,9
P45,6
P46,5
P47,10
P48,17
P49,9
P50,19
P51,9
P52,14
P53,18
P54,20
P55,15
P56,1
P57,2
P58,1
P59,4
P60,1
P61,7
P62,4
P63,1
P64,16
P65,17
P66,10
P67,10
P68,3
P69,16
P70,20
P71,19
P72,1
P73,20
P74,13
P75,4
P76,17
P77,18
P78,7
P79,6
P80,11
P81,13
P82,8
P83,1
P84,11
P85,20
P86,16
P87,18
P88,5
P89,17
P90,7
P91,7
P92,9
P93,10
P94,16
P95,9
P96,5
P97,11
P98,5
P99,16
