page,burst_time
P0,11
P1,2
P2,20
P3,9
P4,8
P5,18
P6,20
P7,15
P8,8
P9,20
P10,8
P11,3
P12,16
P13,7
P14,4
P15,5
P16,1
P17,10
P18,14
P19,17
P20,7
P21,7
P22,9
P23,16
P24,16
P25,19
P26,16
P27,10
P28,7
P29,13
P30,13
P31,5
P32,7
P33,14
P34,15
P35,12
P36,18
P37,13
P38,1
P39,3
P40,6
P41,6
P42,5
P43,9
P44,15
P45,2
P46,9
P47,13
P48,5
P49,3
P50,9
P51,5
P52,19
P53,2
P54,10
P55,10
P56,9
P57,1
P58,13
P59,13
P60,18
P61,15
P62,20
P63,2
P64,10
P65,18
P66,16
P67,9
P68,4
P69,1
P70,19
P71,18
P72,2
P73,18
P74,6
P75,2
P76,7
P77,11
P78,14
P79,16
P80,18
P81,6
P82,20
P83,12
P84,12
P85,11
P86,2
P87,18
P88,9
P89,20
P90,2
P91,17
P92,19
P93,7
P94,12
P95,20
P96,9
P97,14
P98,18
P99,5
