page,burst_time
P0,10
P1,18
P2,18
P3,13
P4,6
P5,10
P6,2
P7,4
P8,18
P9,15
P10,7
P11,3
P12,17
P13,17
P14,14
P15,9
P16,11
P17,1
P18,12
P19,12
P20,16
P21,18
P22,1
P23,10
P24,14
P25,13
P26,20
P27,10
P28,4
P29,6
P30,9
P31,17
P32,8
P33,8
P34,13
P35,17
P36,11
P37,5
P38,5
P39,11
P40,3
P41,3
P42,11
P43,6
P44,5
P45,11
P46,17
P47,10
P48,14
P49,20
P50,7
P51,7
P52,13
P53,20
P54,4
P55,13
P56,1
P57,16
P58,15
P59,18
P60,9
P61,13
P62,16
P63,5
P64,13
P65,10
P66,16
P67,11
P68,2
P69,10
P70,8
P71,7
P72,18
P73,19
P74,2
P75,3
P76,14
P77,14
P78,14
P79,9
P80,18
P81,7
P82,9
P83,13
P84,8
P85,14
P86,7
P87,18
P88,8
P89,20
P90,17
P91,19
P92,14
P93,5
P94,11
P95,7
P96,6
P97,15
P98,7
P99,2
