page,burst_time
P0,4
P1,2
P2,8
P3,20
P4,5
P5,3
P6,16
P7,16
P8,11
P9,14
P10,11
P11,10
P12,13
P13,20
P14,17
P15,18
P16,18
P17,14
P18,17
P19,5
P20,2
P21,6
P22,1
P23,3
P24,2
P25,12
P26,10
P27,12
P28,16
P29,17
P30,20
P31,12
P32,13
P33,17
P34,1
P35,1
P36,12
P37,1
P38,5
P39,19
P40,3
P41,8
P42,1
P43,1
P44,5
P45,1
P46,6
P47,6
P48,16
P49,2
P50,2
P51,9
P52,15
P53,9
P54,20
P55,1
P56,8
P57,10
P58,18
P59,4
P60,19
P61,10
P62,15
P63,14
P64,17
P65,1
P66,18
P67,14
P68,2
P69,3
P70,18
P71,8
P72,2
P73,14
P74,20
P75,12
P76,16
P77,20
P78,18
P79,19
P80,19
P81,3
P82,13
P83,14
P84,3
P85,13
P86,14
P87,15
P88,20
P89,7
P90,12
P91,12
P92,19
P93,1
P94,14
P95,20
P96,1
P97,9
P98,5
P99,2
