page,burst_time
P0,14
P1,17
P2,10
P3,5
P4,16
P5,11
P6,12
P7,7
P8,9
P9,12
P10,6
P11,3
P12,8
P13,3
P14,9
P15,8
P16,1
P17,19
P18,11
P19,4
P20,7
P21,1
P22,20
P23,4
P24,20
P25,12
P26,10
P27,5
P28,20
P29,3
P30,19
P31,4
P32,19
P33,9
P34,1
P35,9
P36,16
P37,15
P38,2
P39,10
P40,10
P41,16
P42,13
P43,10
P44,20
P45,17
P46,9
P47,7
P48,19
P49,17
P50,10
P51,5
P52,4
P53,3
P54,10
P55,13
P56,10
P57,11
P58,11
P59,11
P60,18
P61,2
P62,3
P63,19
P64,13
P65,13
P66,19
P67,12
P68,11
P69,9
P70,19
P71,15
P72,20
P73,13
P74,18
P75,8
P76,4
P77,2
P78,13
P79,20
P80,19
P81,5
P82,5
P83,15
P84,6
P85,15
P86,11
P87,9
P88,17
P89,15
P90,15
P91,4
P92,16
P93,4
P94,11
P95,1
P96,1
P97,1
P98,5
P99,2
