page,burst_time
P0,17
P1,2
P2,19
P3,14
P4,13
P5,9
P6,12
P7,8
P8,16
P9,7
P10,4
P11,19
P12,8
P13,20
P14,7
P15,6
P16,2
P17,1
P18,10
P19,7
P20,12
P21,2
P22,12
P23,8
P24,11
P25,10
P26,19
P27,19
P28,4
P29,11
P30,11
P31,10
P32,1
P33,11
P34,18
P35,18
P36,6
P37,20
P38,19
P39,16
P40,11
P41,15
P42,4
P43,5
P44,6
P45,20
P46,3
P47,8
P48,15
P49,3
P50,15
P51,17
P52,19
P53,10
P54,4
P55,16
P56,15
P57,10
P58,14
P59,9
P60,2
P61,13
P62,12
P63,20
P64,8
P65,1
P66,8
P67,19
P68,14
P69,8
P70,4
P71,4
P72,7
P73,11
P74,9
P75,20
P76,18
P77,12
P78,2
P79,7
P80,18
P81,20
P82,11
P83,2
P84,5
P85,2
P86,3
P87,17
P88,1
P89,1
P90,8
P91,16
P92,2
P93,3
P94,17
P95,13
P96,1
P97,11
P98,14
P99,8
