page,burst_time
P0,20
P1,4
P2,19
P3,4
P4,11
P5,6
P6,7
P7,13
P8,6
P9,16
P10,8
P11,14
P12,5
P13,11
P14,13
P15,3
P16,2
P17,15
P18,20
P19,9
P20,20
P21,19
P22,3
P23,15
P24,12
P25,13
P26,13
P27,2
P28,12
P29,18
P30,14
P31,7
P32,11
P33,9
P34,1
P35,14
P36,12
P37,2
P38,2
P39,19
P40,6
P41,12
P42,15
P43,5
P44,8
P45,13
P46,19
P47,6
P48,16
P49,19
P50,5
P51,1
P52,12
P53,10
P54,4
P55,8
P56,19
P57,15
P58,11
P59,5
P60,3
P61,19
P62,17
P63,3
P64,20
P65,13
P66,6
P67,10
P68,19
P69,5
P70,6
P71,12
P72,12
P73,13
P74,11
P75,11
P76,10
P77,9
P78,6
P79,6
P80,1
P81,4
P82,2
P83,16
P84,7
P85,10
P86,6
P87,8
P88,11
P89,3
P90,2
P91,5
P92,11
P93,6
P94,5
P95,5
P96,9
P97,9
P98,8
P99,4
