page,burst_time
P0,7
P1,4
P2,12
P3,5
P4,3
P5,2
P6,20
P7,15
P8,17
P9,18
P10,20
P11,2
P12,12
P13,13
P14,13
P15,19
P16,14
P17,7
P18,18
P19,10
P20,2
P21,8
P22,1
P23,16
P24,7
P25,3
P26,6
P27,18
P28,10
P29,15
P30,1
P31,10
P32,18
P33,7
P34,17
P35,6
P36,12
P37,15
P38,16
P39,8
P40,2
P41,5
P42,9
P43,6
P44,16
P45,9
P46,1
P47,17
P48,13
P49,1
P50,3
P51,3
P52,11
P53,13
P54,14
P55,17
P56,16
P57,15
P58,9
P59,7
P60,17
P61,16
P62,2
P63,12
P64,1
P65,17
P66,16
P67,19
P68,1
P69,10
P70,19
P71,12
P72,15
P73,11
P74,13
P75,10
P76,1
P77,3
P78,5
P79,15
P80,8
P81,15
P82,9
P83,7
P84,11
P85,11
P86,13
P87,5
P88,16
P89,19
P90,8
P91,14
P92,7
P93,3
P94,16
P95,11
P96,18
P97,5
P98,18
P99,17
