page,burst_time
P0,16
P1,19
P2,6
P3,5
P4,19
P5,20
P6,13
P7,20
P8,12
P9,4
P10,17
P11,1
P12,8
P13,3
P14,19
P15,5
P16,19
P17,16
P18,12
P19,4
P20,15
P21,6
P22,7
P23,6
P24,7
P25,17
P26,15
P27,17
P28,13
P29,4
P30,2
P31,16
P32,6
P33,4
P34,8
P35,13
P36,7
P37,15
P38,14
P39,6
P40,8
P41,4
P42,6
P43,7
P44,12
P45,11
P46,19
P47,2
P48,15
P49,14
P50,5
P51,14
P52,14
P53,15
P54,17
P55,13
P56,12
P57,14
P58,17
P59,14
P60,3
P61,17
P62,16
P63,4
P64,3
P65,15
P66,9
P67,2
P68,15
P69,14
P70,7
P71,11
P72,2
P73,13
P74,5
P75,5
P76,12
P77,4
P78,7
P79,3
P80,15
P81,7
P82,12
P83,5
P84,10
P85,1
P86,7
P87,11
P88,10
P89,15
P90,4
P91,10
P92,15
P93,17
P94,16
P95,5
P96,13
P97,19
P98,19
P99,1
