page,burst_time
P0,15
P1,15
P2,9
P3,16
P4,15
P5,12
P6,12
P7,4
P8,18
P9,15
P10,6
P11,10
P12,19
P13,17
P14,2
P15,5
P16,1
P17,3
P18,19
P19,2
P20,2
P21,14
P22,15
P23,6
P24,18
P25,20
P26,17
P27,12
P28,2
P29,2
P30,19
P31,15
P32,20
P33,14
P34,15
P35,19
P36,13
P37,19
P38,16
P39,6
P40,5
P41,4
P42,15
P43,7
P44,8
P45,20
P46,13
P47,18
P48,6
P49,14
P50,1
P51,6
P52,6
P53,19
P54,2
P55,8
P56,16
P57,6
P58,19
P59,14
P60,11
P61,11
P62,15
P63,6
P64,13
P65,17
P66,10
P67,3
P68,8
P69,3
P70,19
P71,18
P72,8
P73,14
P74,1
P75,15
P76,9
P77,6
P78,7
P79,17
P80,19
P81,10
P82,1
P83,8
P84,11
P85,1
P86,20
P87,8
P88,9
P89,12
P90,3
P91,10
P92,1
P93,18
P94,11
P95,7
P96,6
P97,3
P98,13
P99,20
