page,burst_time
P0,17
P1,3
P2,3
P3,2
P4,9
P5,14
P6,13
P7,6
P8,11
P9,16
P10,8
P11,15
P12,15
P13,5
P14,1
P15,4
P16,6
P17,7
P18,12
P19,5
P20,17
P21,20
P22,17
P23,20
P24,14
P25,2
P26,10
P27,6
P28,17
P29,18
P30,13
P31,19
P32,3
P33,14
P34,6
P35,4
P36,20
P37,3
P38,18
P39,10
P40,2
P41,13
P42,20
P43,14
P44,13
P45,11
P46,9
P47,1
P48,18
P49,5
P50,15
P51,8
P52,20
P53,3
P54,10
P55,14
P56,5
P57,19
P58,4
P59,8
P60,11
P61,17
P62,16
P63,20
P64,8
P65,9
P66,15
P67,9
P68,7
P69,13
P70,12
P71,15
P72,13
P73,14
P74,4
P75,16
P76,20
P77,5
P78,5
P79,20
P80,18
P81,4
P82,19
P83,4
P84,14
P85,13
P86,11
P87,7
P88,1
P89,16
P90,15
P91,19
P92,9
P93,7
P94,14
P95,20
P96,15
P97,13
P98,18
P99,11
