page,burst_time
P0,13
P1,18
P2,11
P3,8
P4,9
P5,1
P6,7
P7,11
P8,17
P9,12
P10,10
P11,15
P12,12
P13,13
P14,17
P15,13
P16,9
P17,6
P18,7
P19,2
P20,20
P21,9
P22,19
P23,19
P24,14
P25,12
P26,8
P27,6
P28,11
P29,18
P30,16
P31,2
P32,8
P33,6
P34,7
P35,7
P36,4
P37,4
P38,17
P39,14
P40,11
P41,2
P42,8
P43,5
P44,17
P45,5
P46,12
P47,9
P48,1
P49,7
P50,12
P51,14
P52,19
P53,3
P54,9
P55,11
P56,3
P57,14
P58,12
P59,12
P60,8
P61,7
P62,11
P63,5
P64,16
P65,14
P66,2
P67,2
P68,6
P69,14
P70,2
P71,2
P72,19
P73,3
P74,11
P75,17
P76,14
P77,6
P78,19
P79,20
P80,12
P81,12
P82,9
P83,2
P84,1
P85,14
P86,16
P87,17
P88,6
P89,1
P90,11
P91,8
P92,5
P93,20
P94,3
P95,6
P96,17
P97,2
P98,14
P99,16
