page,burst_time
P0,14
P1,10
P2,16
P3,14
P4,1
P5,1
P6,5
P7,2
P8,14
P9,8
P10,11
P11,19
P12,10
P13,11
P14,16
P15,13
P16,13
P17,18
P18,20
P19,9
P20,9
P21,7
P22,5
P23,3
P24,9
P25,10
P26,7
P27,13
P28,4
P29,6
P30,8
P31,20
P32,16
P33,7
P34,6
P35,5
P36,20
P37,7
P38,12
P39,5
P40,11
P41,11
P42,9
P43,6
P44,1
P45,7
P46,5
P47,15
P48,3
P49,5
P50,12
P51,3
P52,9
P53,4
P54,19
P55,15
P56,1
P57,19
P58,5
P59,12
P60,14
P61,1
P62,9
P63,17
P64,16
P65,12
P66,20
P67,19
P68,18
P69,12
P70,7
P71,9
P72,1
P73,10
P74,20
P75,6
P76,9
P77,8
P78,20
P79,20
P80,17
P81,12
P82,19
P83,18
P84,16
P85,16
P86,6
P87,20
P88,15
P89,13
P90,9
P91,11
P92,9
P93,9
P94,5
P95,14
P96,3
P97,5
P98,11
P99,5
