page,burst_time
P0,7
P1,1
P2,20
P3,8
P4,11
P5,19
P6,10
P7,16
P8,11
P9,9
P10,14
P11,7
P12,12
P13,4
P14,20
P15,17
P16,4
P17,7
P18,14
P19,16
P20,13
P21,2
P22,12
P23,16
P24,17
P25,13
P26,16
P27,18
P28,8
P29,18
P30,8
P31,8
P32,13
P33,8
P34,10
P35,14
P36,19
P37,7
P38,12
P39,19
P40,5
P41,5
P42,14
P43,12
P44,6
P45,20
P46,18
P47,3
P48,10
P49,20
P50,17
P51,9
P52,4
P53,19
P54,15
P55,2
P56,14
P57,9
P58,7
P59,15
P60,4
P61,9
P62,10
P63,16
P64,16
P65,12
P66,12
P67,18
P68,14
P69,17
P70,15
P71,20
P72,20
P73,2
P74,5
P75,2
P76,5
P77,19
P78,19
P79,19
P80,15
P81,15
P82,5
P83,2
P84,19
P85,8
P86,9
P87,11
P88,18
P89,11
P90,1
P91,3
P92,8
P93,16
P94,11
P95,8
P96,2
P97,2
P98,7
P99,19
