page,burst_time
P0,18
P1,1
P2,19
P3,1
P4,11
P5,2
P6,9
P7,8
P8,17
P9,14
P10,18
P11,8
P12,2
P13,10
P14,15
P15,20
P16,12
P17,10
P18,12
P19,14
P20,6
P21,7
P22,14
P23,2
P24,4
P25,3
P26,15
P27,8
P28,12
P29,10
P30,17
P31,2
P32,15
P33,9
P34,9
P35,8
P36,8
P37,19
P38,3
P39,16
P40,16
P41,8
P42,12
P43,20
P44,2
P45,13
P46,1
P47,12
P48,5
P49,6
P50,2
P51,9
P52,6
P53,2
P54,4
P55,12
P56,13
P57,18
P58,15
P59,6
P60,20
P61,7
P62,19
P63,3
P64,11
P65,8
P66,17
P67,6
P68,14
P69,10
P70,5
P71,20
P72,18
P73,1
P74,19
P75,3
P76,19
P77,10
P78,11
P79,12
P80,4
P81,1
P82,7
P83,5
P84,19
P85,19
P86,7
P87,20
P88,2
P89,15
P90,2
P91,17
P92,16
P93,17
P94,16
P95,9
P96,2
P97,7
P98,1
P99,14
