page,burst_time
P0,15
P1,16
P2,6
P3,17
P4,18
P5,11
P6,11
P7,3
P8,14
P9,2
P10,17
P11,3
P12,2
P13,10
P14,7
P15,3
P16,20
P17,8
P18,1
P19,10
P20,17
P21,7
P22,6
P23,16
P24,14
P25,14
P26,14
P27,15
P28,10
P29,17
P30,7
P31,13
P32,8
P33,10
P34,17
P35,8
P36,19
P37,2
P38,17
P39,15
P40,17
P41,20
P42,13
P43,5
P44,11
P45,10
P46,14
P47,11
P48,9
P49,8
P50,18
P51,10
P52,15
P53,16
P54,6
P55,4
P56,12
P57,13
P58,6
P59,12
P60,18
P61,6
P62,8
P63,11
P64,13
P65,13
P66,4
P67,5
P68,19
P69,20
P70,3
P71,11
P72,2
P73,11
P74,2
P75,3
P76,19
P77,20
P78,7
P79,3
P80,8
P81,8
P82,20
P83,3
P84,10
P85,15
P86,10
P87,6
P88,7
P89,18
P90,5
P91,1
P92,16
P93,14
P94,4
P95,9
P96,15
P97,4
P98,14
P99,13
