page,burst_time
P0,1
P1,17
P2,18
P3,10
P4,14
P5,17
P6,6
P7,7
P8,4
P9,2
P10,16
P11,5
P12,19
P13,18
P14,8
P15,8
P16,1
P17,9
P18,18
P19,20
P20,2
P21,7
P22,11
P23,19
P24,4
P25,17
P26,20
P27,16
P28,19
P29,3
P30,10
P31,16
P32,4
P33,16
P34,12
P35,15
P36,20
P37,11
P38,17
P39,5
P40,20
P41,6
P42,12
P43,19
P44,4
P45,12
P46,17
P47,20
P48,15
P49,6
P50,17
P51,1
P52,13
P53,13
P54,11
P55,15
P56,3
P57,2
P58,3
P59,14
P60,13
P61,3
P62,4
P63,9
P64,11
P65,6
P66,12
P67,19
P68,19
P69,20
P70,1
P71,18
P72,4
P73,16
P74,19
P75,2
P76,5
P77,9
P78,4
P79,10
P80,15
P81,18
P82,7
P83,8
P84,5
P85,1
P86,12
P87,7
P88,14
P89,5
P90,18
P91,18
P92,8
P93,14
P94,5
P95,20
P96,15
P97,9
P98,10
P99,2
