page,burst_time
P0,18
P1,7
P2,12
P3,8
P4,19
P5,16
P6,3
P7,17
P8,7
P9,3
P10,2
P11,14
P12,11
P13,16
P14,4
P15,4
P16,7
P17,16
P18,13
P19,11
P20,2
P21,12
P22,9
P23,1
P24,4
P25,10
P26,9
P27,4
P28,4
P29,15
P30,9
P31,18
P32,4
P33,5
P34,15
P35,16
P36,3
P37,2
P38,7
P39,8
P40,20
P41,1
P42,5
P43,2
P44,5
P45,12
P46,9
P47,18
P48,18
P49,12
P50,6
P51,20
P52,17
P53,13
P54,15
P55,5
P56,2
P57,15
P58,11
P59,20
P60,17
P61,4
P62,4
P63,15
P64,8
P65,15
P66,16
P67,13
P68,15
P69,17
P70,3
P71,8
P72,9
P73,4
P74,12
P75,7
P76,10
P77,18
P78,13
P79,16
P80,18
P81,20
P82,20
P83,6
P84,9
P85,9
P86,8
P87,14
P88,19
P89,13
P90,15
P91,16
P92,10
P93,6
P94,13
P95,14
P96,3
P97,6
P98,3
P99,9
