page,burst_time
P0,19
P1,1
P2,11
P3,5
P4,11
P5,13
P6,6
P7,3
P8,6
P9,8
P10,3
P11,11
P12,3
P13,14
P14,15
P15,19
P16,15
P17,4
P18,17
P19,8
P20,17
P21,8
P22,18
P23,13
P24,16
P25,3
P26,8
P27,1
P28,7
P29,16
P30,2
P31,18
P32,1
P33,10
P34,7
P35,1
P36,13
P37,7
P38,5
P39,11
P40,11
P41,19
P42,5
P43,4
P44,17
P45,15
P46,20
P47,9
P48,10
P49,5
P50,12
P51,20
P52,7
P53,14
P54,15
P55,17
P56,3
P57,8
P58,10
P59,8
P60,7
P61,3
P62,18
P63,10
P64,20
P65,5
P66,3
P67,14
P68,2
P69,20
P70,6
P71,17
P72,13
P73,3
P74,13
P75,19
P76,5
P77,15
P78,14
P79,12
P80,6
P81,6
P82,10
P83,13
P84,18
P85,2
P86,19
P87,9
P88,3
P89,4
P90,20
P91,2
P92,9
P93,6
P94,13
P95,11
P96,20
P97,8
P98,2
P99,10
