page,burst_time
P0,2
P1,14
P2,19
P3,6
P4,11
P5,17
P6,14
P7,11
P8,4
P9,2
P10,18
P11,17
P12,10
P13,15
P14,11
P15,19
P16,4
P17,8
P18,17
P19,18
P20,17
P21,18
P22,3
P23,10
P24,11
P25,10
P26,7
P27,2
P28,11
P29,11
P30,6
P31,17
P32,5
P33,12
P34,13
P35,12
P36,6
P37,16
P38,9
P39,18
P40,11
P41,4
P42,8
P43,5
P44,20
P45,19
P46,2
P47,18
P48,4
P49,3
P50,17
P51,2
P52,19
P53,18
P54,1
P55,16
P56,16
P57,20
P58,2
P59,10
P60,16
P61,18
P62,8
P63,11
P64,16
P65,10
P66,11
P67,3
P68,18
P69,9
P70,16
P71,9
P72,10
P73,18
P74,17
P75,6
P76,1
P77,7
P78,18
P79,11
P80,11
P81,11
P82,1
P83,15
P84,7
P85,20
P86,19
P87,18
P88,3
P89,7
P90,17
P91,10
P92,11
P93,4
P94,14
P95,15
P96,8
P97,16
P98,13
P99,7
