page,burst_time
P0,20
P1,2
P2,11
P3,3
P4,8
P5,13
P6,4
P7,2
P8,12
P9,2
P10,1
P11,2
P12,19
P13,17
P14,14
P15,20
P16,17
P17,13
P18,2
P19,19
P20,8
P21,9
P22,14
P23,3
P24,5
P25,9
P26,11
P27,1
P28,16
P29,14
P30,9
P31,12
P32,16
P33,6
P34,13
P35,2
P36,6
P37,12
P38,11
P39,12
P40,16
P41,10
P42,7
P43,3
P44,9
P45,17
P46,7
P47,3
P48,19
P49,7
P50,14
P51,3
P52,14
P53,18
P54,6
P55,18
P56,1
P57,16
P58,10
P59,2
P60,20
P61,4
P62,7
P63,13
P64,14
P65,11
P66,12
P67,12
P68,13
P69,14
P70,13
P71,14
P72,7
P73,6
P74,11
P75,10
P76,5
P77,9
P78,6
P79,1
P80,15
P81,15
P82,14
P83,17
P84,14
P85,3
P86,16
P87,2
P88,6
P89,3
P90,8
P91,7
P92,2
P93,3
P94,17
P95,3
P96,16
P97,8
P98,3
P99,14
