page,burst_time
P0,9
P1,12
P2,19
P3,11
P4,11
P5,2
P6,11
P7,20
P8,16
P9,18
P10,19
P11,20
P12,9
P13,17
P14,14
P15,14
P16,4
P17,6
P18,9
P19,16
P20,9
P21,15
P22,11
P23,19
P24,9
P25,20
P26,12
P27,20
P28,10
P29,16
P30,14
P31,11
P32,14
P33,17
P34,2
P35,19
P36,20
P37,19
P38,15
P39,2
P40,14
P41,19
P42,15
P43,18
P44,4
P45,15
P46,16
P47,10
P48,13
P49,2
P50,10
P51,14
P52,11
P53,1
P54,19
P55,3
P56,20
P57,13
P58,14
P59,12
P60,18
P61,4
P62,20
P63,20
P64,11
P65,19
P66,18
P67,8
P68,2
P69,10
P70,19
P71,10
P72,20
P73,2
P74,4
P75,12
P76,6
P77,8
P78,5
P79,4
P80,18
P81,5
P82,18
P83,16
P84,7
P85,15
P86,20
P87,5
P88,4
P89,18
P90,1
P91,8
P92,2
P93,20
P94,18
P95,18
P96,16
P97,10
P98,8
P99,15
