page,burst_time
P0,13
P1,1
P2,17
P3,15
P4,18
P5,13
P6,13
P7,8
P8,13
P9,8
P10,2
P11,8
P12,16
P13,14
P14,6
P15,16
P16,12
P17,4
P18,3
P19,3
P20,13
P21,1
P22,13
P23,5
P24,6
P25,6
P26,18
P27,2
P28,20
P29,15
P30,10
P31,7
P32,10
P33,5
P34,19
P35,12
P36,14
P37,2
P38,13
P39,8
P40,12
P41,7
P42,7
P43,9
P44,9
P45,3
P46,20
P47,11
P48,16
P49,19
P50,18
P51,5
P52,12
P53,5
P54,18
P55,17
P56,1
P57,18
P58,3
P59,8
P60,9
P61,12
P62,2
P63,5
P64,3
P65,8
P66,9
P67,17
P68,8
P69,2
P70,14
P71,18
P72,7
P73,3
P74,9
P75,15
P76,8
P77,16
P78,6
P79,4
P80,11
P81,16
P82,11
P83,14
P84,6
P85,12
P86,18
P87,1
P88,1
P89,3
P90,20
P91,12
P92,2
P93,17
P94,1
P95,9
P96,17
P97,9
P98,3
P99,17
