page,burst_time
P0,7
P1,10
P2,9
P3,14
P4,14
P5,10
P6,14
P7,20
P8,17
P9,17
P10,14
P11,2
P12,17
P13,19
P14,8
P15,11
P16,8
P17,11
P18,15
P19,20
P20,11
P21,13
P22,10
P23,10
P24,13
P25,10
P26,18
P27,20
P28,13
P29,17
P30,7
P31,11
P32,13
P33,15
P34,12
P35,17
P36,7
P37,15
P38,10
P39,10
P40,16
P41,17
P42,16
P43,17
P44,5
P45,20
P46,6
P47,2
P48,15
P49,17
P50,16
P51,6
P52,14
P53,10
P54,17
P55,19
P56,6
P57,2
P58,16
P59,9
P60,11
P61,6
P62,6
P63,16
P64,18
P65,12
P66,19
P67,4
P68,10
P69,12
P70,13
P71,19
P72,2
P73,15
P74,4
P75,8
P76,2
P77,19
P78,19
P79,12
P80,6
P81,7
P82,20
P83,7
P84,16
P85,16
P86,16
P87,1
P88,14
P89,8
P90,11
P91,13
P92,3
P93,13
P94,15
P95,18
P96,19
P97,5
P98,20
P99,4
