page,burst_time
P0,11
P1,11
P2,10
P3,20
P4,9
P5,4
P6,17
P7,12
P8,12
P9,1
P10,1
P11,3
P12,10
P13,20
P14,7
P15,18
P16,5
P17,9
P18,17
P19,5
P20,18
P21,16
P22,4
P23,4
P24,16
P25,15
P26,19
P27,11
P28,3
P29,16
P30,11
P31,10
P32,5
P33,12
P34,1
P35,14
P36,11
P37,18
P38,4
P39,9
P40,6
P41,19
P42,7
P43,11
P44,8
P45,3
P46,16
P47,2
P48,3
P49,3
P50,8
P51,9
P52,7
P53,10
P54,17
P55,8
P56,20
P57,4
P58,20
P59,11
P60,2
P61,9
P62,18
P63,3
P64,14
P65,11
P66,20
P67,4
P68,20
P69,9
P70,9
P71,8
P72,3
P73,7
P74,15
P75,8
P76,10
P77,6
P78,14
P79,7
P80,14
P81,2
P82,4
P83,6
P84,20
P85,6
P86,19
P87,3
P88,19
P89,13
P90,8
P91,8
P92,13
P93,9
P94,9
P95,18
P96,13
P97,20
P98,3
P99,15
