page,burst_time
P0,9
P1,16
P2,17
P3,14
P4,9
P5,3
P6,4
P7,12
P8,14
P9,8
P10,7
P11,12
P12,11
P13,7
P14,7
P15,1
P16,13
P17,18
P18,11
P19,19
P20,11
P21,20
P22,4
P23,17
P24,17
P25,7
P26,10
P27,8
P28,1
P29,2
P30,19
P31,9
P32,8
P33,14
P34,17
P35,4
P36,18
P37,10
P38,3
P39,4
P40,9
P41,20
P42,14
P43,19
P44,1
P45,7
P46,19
P47,12
P48,4
P49,4
P50,12
P51,18
P52,17
P53,18
P54,1
P55,1
P56,10
P57,14
P58,1
P59,20
P60,11
P61,4
P62,10
P63,14
P64,12
P65,20
P66,13
P67,9
P68,13
P69,3
P70,2
P71,11
P72,12
P73,7
P74,20
P75,1
P76,11
P77,19
P78,10
P79,14
P80,14
P81,5
P82,16
P83,11
P84,18
P85,13
P86,4
P87,16
P88,2
P89,5
P90,5
P91,14
P92,18
P93,9
P94,14
P95,9
P96,14
P97,1
P98,5
P99,17
