page,burst_time
P0,17
P1,9
P2,18
P3,7
P4,17
P5,1
P6,12
P7,14
P8,4
P9,9
P10,19
P11,9
P12,18
P13,17
P14,18
P15,13
P16,18
P17,19
P18,7
P19,20
P20,5
P21,10
P22,2
P23,19
P24,6
P25,15
P26,20
P27,10
P28,4
P29,6
P30,3
P31,2
P32,7
P33,7
P34,8
P35,12
P36,17
P37,10
P38,16
P39,1
P40,3
P41,14
P42,18
P43,15
P44,19
P45,6
P46,4
P47,11
P48,16
P49,13
P50,17
P51,1
P52,17
P53,14
P54,15
P55,7
P56,20
P57,1
P58,4
P59,1
P60,9
P61,11
P62,20
P63,7
P64,6
P65,19
P66,20
P67,7
P68,13
P69,4
P70,9
P71,7
P72,7
P73,9
P74,5
P75,12
P76,18
P77,5
P78,17
P79,10
P80,3
P81,3
P82,16
P83,10
P84,18
P85,14
P86,14
P87,11
P88,19
P89,7
P90,17
P91,8
P92,8
P93,10
P94,9
P95,13
P96,10
P97,6
P98,7
P99,20
