page,burst_time
P0,5
P1,13
P2,20
P3,11
P4,14
P5,11
P6,13
P7,19
P8,15
P9,6
P10,18
P11,14
P12,19
P13,6
P14,1
P15,8
P16,12
P17,2
P18,10
P19,7
P20,9
P21,2
P22,15
P23,1
P24,19
P25,14
P26,9
P27,8
P28,2
P29,13
P30,6
P31,14
P32,5
P33,11
P34,2
P35,6
P36,20
P37,20
P38,3
P39,16
P40,14
P41,2
P42,1
P43,18
P44,12
P45,6
P46,10
P47,18
P48,20
P49,14
P50,9
P51,12
P52,2
P53,19
P54,2
P55,3
P56,18
P57,7
P58,9
P59,2
P60,7
P61,8
P62,5
P63,14
P64,10
P65,14
P66,11
P67,16
P68,20
P69,11
P70,17
P71,6
P72,20
P73,2
P74,8
P75,15
P76,3
P77,4
P78,12
P79,19
P80,6
P81,16
P82,4
P83,1
P84,12
P85,13
P86,14
P87,12
P88,17
P89,12
P90,4
P91,9
P92,19
P93,16
P94,18
P95,17
P96,17
P97,16
P98,6
P99,6
