page,burst_time
P0,16
P1,12
P2,6
P3,10
P4,10
P5,19
P6,11
P7,7
P8,15
P9,2
P10,6
P11,19
P12,13
P13,15
P14,10
P15,5
P16,8
P17,17
P18,11
P19,16
P20,14
P21,7
P22,1
P23,9
P24,13
P25,10
P26,1
P27,14
P28,5
P29,10
P30,8
P31,12
P32,7
P33,3
P34,20
P35,9
P36,19
P37,15
P38,10
P39,7
P40,17
P41,14
P42,14
P43,1
P44,10
P45,4
P46,11
P47,4
P48,1
P49,19
P50,5
P51,15
P52,3
P53,8
P54,15
P55,12
P56,10
P57,19
P58,16
P59,16
P60,16
P61,4
P62,3
P63,6
P64,2
P65,3
P66,3
P67,12
P68,14
P69,15
P70,3
P71,19
P72,13
P73,9
P74,15
P75,10
P76,20
P77,20
P78,18
P79,9
P80,9
P81,16
P82,4
P83,12
P84,10
P85,14
P86,14
P87,9
P88,11
P89,4
P90,2
P91,10
P92,17
P93,17
P94,1
P95,5
P96,15
P97,15
P98,18
P99,1
