page,burst_time
P0,2
P1,1
P2,7
P3,13
P4,2
P5,17
P6,3
P7,8
P8,3
P9,8
P10,12
P11,14
P12,4
P13,8
P14,4
P15,20
P16,2
P17,17
P18,13
P19,20
P20,6
P21,6
P22,17
P23,12
P24,18
P25,19
P26,9
P27,5
P28,19
P29,16
P30,15
P31,18
P32,5
P33,16
P34,19
P35,6
P36,20
P37,9
P38,2
P39,14
P40,3
P41,19
P42,6
P43,4
P44,10
P45,13
P46,16
P47,7
P48,12
P49,5
P50,2
P51,12
P52,18
P53,18
P54,15
P55,13
P56,19
P57,16
P58,19
P59,7
P60,19
P61,1
P62,14
P63,7
P64,9
P65,18
P66,20
P67,14
P68,13
P69,1
P70,7
P71,2
P72,19
P73,10
P74,10
P75,4
P76,11
P77,5
P78,16
P79,2
P80,20
P81,10
P82,18
P83,10
P84,14
P85,6
P86,20
P87,18
P88,19
P89,20
P90,2
P91,8
P92,14
P93,8
P94,1
P95,17
P96,10
P97,12
P98,3
P99,8
