page,burst_time
P0,7
P1,5
P2,6
P3,7
P4,6
P5,15
P6,12
P7,16
P8,19
P9,17
P10,14
P11,11
P12,16
P13,18
P14,4
P15,19
P16,10
P17,5
P18,17
P19,13
P20,5
P21,4
P22,1
P23,12
P24,16
P25,3
P26,19
P27,10
P28,5
P29,1
P30,17
P31,1
P32,12
P33,2
P34,9
P35,14
P36,20
P37,4
P38,13
P39,12
P40,7
P41,12
P42,15
P43,12
P44,9
P45,6
P46,18
P47,11
P48,17
P49,5
P50,4
P51,11
P52,1
P53,8
P54,11
P55,3
P56,13
P57,14
P58,14
P59,9
P60,17
P61,1
P62,14
P63,6
P64,6
P65,1
P66,14
P67,13
P68,16
P69,16
P70,15
P71,18
P72,1
P73,9
P74,15
P75,11
P76,11
P77,19
P78,10
P79,17
P80,19
P81,12
P82,11
P83,10
P84,9
P85,2
P86,4
P87,18
P88,19
P89,20
P90,17
P91,17
P92,15
P93,20
P94,9
P95,12
P96,6
P97,19
P98,19
P99,12
