page,burst_time
P0,9
P1,13
P2,18
P3,14
P4,3
P5,15
P6,16
P7,2
P8,16
P9,20
P10,18
P11,3
P12,5
P13,5
P14,16
P15,16
P16,12
P17,16
P18,20
P19,4
P20,2
P21,18
P22,14
P23,17
P24,9
P25,11
P26,12
P27,2
P28,2
P29,6
P30,6
P31,6
P32,11
P33,18
P34,2
P35,5
P36,12
P37,3
P38,8
P39,5
P40,2
P41,13
P42,18
P43,4
P44,10
P45,7
P46,2
P47,17
P48,16
P49,6
P50,2
P51,3
P52,14
P53,17
P54,19
P55,1
P56,9
P57,7
P58,14
P59,13
P60,4
P61,5
P62,18
P63,18
P64,16
P65,6
P66,14
P67,20
P68,19
P69,14
P70,8
P71,12
P72,20
P73,4
P74,15
P75,1
P76,15
P77,15
P78,11
P79,16
P80,8
P81,16
P82,17
P83,14
P84,10
P85,10
P86,7
P87,6
P88,1
P89,15
P90,9
P91,10
P92,19
P93,19
P94,9
P95,13
P96,16
P97,18
P98,19
P99,19
