page,burst_time
P0,16
P1,5
P2,7
P3,6
P4,9
P5,5
P6,2
P7,4
P8,10
P9,15
P10,2
P11,3
P12,10
P13,20
P14,9
P15,18
P16,10
P17,13
P18,17
P19,9
P20,19
P21,2
P22,1
P23,18
P24,10
P25,18
P26,20
P27,3
P28,2
P29,9
P30,10
P31,20
P32,12
P33,16
P34,7
P35,17
P36,4
P37,2
P38,12
P39,12
P40,16
P41,15
P42,11
P43,16
P44,12
P45,8
P46,1
P47,20
P48,4
P49,12
P50,17
P51,5
P52,13
P53,4
P54,20
P55,18
P56,3
P57,2
P58,13
P59,4
P60,15
P61,5
P62,7
P63,18
P64,15
P65,2
P66,9
P67,1
P68,19
P69,4
P70,4
P71,5
P72,16
P73,8
P74,10
P75,10
P76,10
P77,20
P78,11
P79,18
P80,1
P81,14
P82,3
P83,13
P84,1
P85,15
P86,4
P87,11
P88,18
P89,11
P90,15
P91,2
P92,16
P93,3
P94,18
P95,15
P96,10
P97,20
P98,4
P99,19
