page,burst_time
P0,7
P1,17
P2,20
P3,19
P4,7
P5,10
P6,8
P7,12
P8,11
P9,6
P10,8
P11,7
P12,8
P13,6
P14,20
P15,12
P16,7
P17,20
P18,8
P19,19
P20,10
P21,20
P22,13
P23,15
P24,5
P25,15
P26,4
P27,8
P28,19
P29,11
P30,1
P31,15
P32,10
P33,2
P34,2
P35,18
P36,5
P37,18
P38,4
P39,11
P40,2
P41,2
P42,12
P43,6
P44,11
P45,2
P46,4
P47,13
P48,8
P49,13
P50,15
P51,17
P52,11
P53,9
P54,11
P55,17
P56,10
P57,15
P58,9
P59,11
P60,7
P61,20
P62,20
P63,5
P64,9
P65,19
P66,14
P67,1
P68,8
P69,5
P70,16
P71,9
P72,5
P73,4
P74,19
P75,6
P76,5
P77,16
P78,18
P79,10
P80,9
P81,7
P82,6
P83,14
P84,6
P85,11
P86,9
P87,9
P88,15
P89,18
P90,14
P91,18
P92,16
P93,3
P94,10
P95,11
P96,12
P97,15
P98,2
P99,5
