page,burst_time
P0,5
P1,3
P2,11
P3,2
P4,5
P5,19
P6,7
P7,10
P8,14
P9,3
P10,4
P11,13
P12,2
P13,16
P14,17
P15,14
P16,14
P17,9
P18,19
P19,8
P20,19
P21,17
P22,13
P23,20
P24,5
P25,8
P26,11
P27,8
P28,11
P29,16
P30,11
P31,7
P32,20
P33,4
P34,7
P35,17
P36,15
P37,7
P38,15
P39,14
P40,12
P41,14
P42,20
P43,2
P44,7
P45,4
P46,8
P47,1
P48,9
P49,2
P50,9
P51,12
P52,14
P53,13
P54,2
P55,18
P56,18
P57,17
P58,1
P59,1
P60,18
P61,11
P62,19
P63,11
P64,6
P65,12
P66,19
P67,20
P68,11
P69,20
P70,8
P71,9
P72,19
P73,15
P74,15
P75,4
P76,5
P77,1
P78,5
P79,15
P80,17
P81,5
P82,15
P83,19
P84,1
P85,1
P86,6
P87,13
P88,13
P89,13
P90,4
P91,9
P92,7
P93,7
P94,5
P95,1
P96,20
P97,15
P98,11
P99,5
