page,burst_time
P0,10
P1,20
P2,18
P3,13
P4,20
P5,3
P6,1
P7,6
P8,14
P9,4
P10,14
P11,10
P12,17
P13,15
P14,19
P15,9
P16,12
P17,16
P18,9
P19,16
P20,20
P21,19
P22,16
P23,3
P24,9
P25,9
P26,8
P27,5
P28,14
P29,1
P30,16
P31,18
P32,12
P33,10
P34,17
P35,2
P36,12
P37,8
P38,9
P39,16
P40,3
P41,15
P42,19
P43,6
P44,7
P45,14
P46,8
P47,15
P48,11
P49,2
P50,2
P51,14
P52,18
P53,4
P54,18
P55,4
P56,20
P57,15
P58,2
P59,3
P60,10
P61,6
P62,5
P63,12
P64,6
P65,9
P66,18
P67,20
P68,17
P69,18
P70,3
P71,14
P72,4
P73,16
P74,5
P75,16
P76,10
P77,7
P78,10
P79,2
P80,13
P81,6
P82,16
P83,11
P84,20
P85,11
P86,4
P87,9
P88,1
P89,10
P90,7
P91,2
P92,3
P93,11
P94,15
P95,20
P96,4
P97,20
P98,19
P99,16
