page,burst_time
P0,5
P1,7
P2,5
P3,3
P4,14
P5,1
P6,6
P7,11
P8,2
P9,20
P10,9
P11,12
P12,11
P13,15
P14,12
P15,3
P16,6
P17,2
P18,19
P19,8
P20,16
P21,2
P22,6
P23,3
P24,17
P25,3
P26,6
P27,12
P28,17
P29,19
P30,20
P31,19
P32,18
P33,7
P34,13
P35,1
P36,18
P37,4
P38,12
P39,20
P40,20
P41,10
P42,19
P43,5
P44,9
P45,12
P46,6
P47,5
P48,1
P49,16
P50,19
P51,14
P52,10
P53,20
P54,3
P55,5
P56,9
P57,9
P58,10
P59,5
P60,20
P61,19
P62,17
P63,10
P64,19
P65,19
P66,20
P67,13
P68,13
P69,17
P70,17
P71,19
P72,2
P73,2
P74,19
P75,14
P76,8
P77,15
P78,3
P79,5
P80,8
P81,13
P82,15
P83,5
P84,9
P85,11
P86,1
P87,19
P88,9
P89,15
P90,7
P91,3
P92,4
P93,11
P94,19
P95,2
P96,13
P97,7
P98,18
P99,6
