page,burst_time
P0,1
P1,4
P2,11
P3,16
P4,3
P5,14
P6,3
P7,17
P8,13
P9,8
P10,6
P11,3
P12,10
P13,3
P14,10
P15,11
P16,15
P17,11
P18,5
P19,5
P20,9
P21,10
P22,13
P23,11
P24,19
P25,17
P26,5
P27,14
P28,4
P29,9
P30,8
P31,7
P32,7
P33,18
P34,12
P35,14
P36,13
P37,9
P38,3
P39,10
P40,13
P41,7
P42,11
P43,1
P44,2
P45,19
P46,19
P47,2
P48,12
P49,16
P50,13
P51,14
P52,20
P53,9
P54,10
P55,15
P56,6
P57,14
P58,7
P59,7
P60,7
P61,12
P62,7
P63,8
P64,13
P65,3
P66,15
P67,7
P68,12
P69,17
P70,5
P71,19
P72,16
P73,15
P74,3
P75,5
P76,8
P77,14
P78,13
P79,8
P80,13
P81,13
P82,16
P83,11
P84,8
P85,11
P86,13
P87,7
P88,6
P89,16
P90,1
P91,16
P92,4
P93,14
P94,16
P95,4
P96,6
P97,16
P98,1
P99,9
