page,burst_time
P0,10
P1,19
P2,4
P3,5
P4,19
P5,8
P6,17
P7,17
P8,4
P9,5
P10,18
P11,18
P12,8
P13,18
P14,16
P15,9
P16,7
P17,1
P18,7
P19,20
P20,17
P21,3
P22,9
P23,4
P24,8
P25,20
P26,4
P27,4
P28,11
P29,12
P30,10
P31,19
P32,4
P33,15
P34,15
P35,9
P36,9
P37,17
P38,13
P39,19
P40,9
P41,10
P42,8
P43,8
P44,8
P45,19
P46,15
P47,1
P48,19
P49,6
P50,13
P51,20
P52,13
P53,3
P54,4
P55,7
P56,12
P57,1
P58,13
P59,9
P60,5
P61,1
P62,5
P63,14
P64,6
P65,17
P66,4
P67,4
P68,14
P69,4
P70,8
P71,12
P72,15
P73,2
P74,2
P75,1
P76,18
P77,15
P78,6
P79,8
P80,19
P81,6
P82,1
P83,19
P84,13
P85,6
P86,7
P87,7
P88,15
P89,20
P90,6
P91,15
P92,9
P93,5
P94,9
P95,18
P96,5
P97,4
P98,19
P99,20
