page,burst_time
P0,17
P1,16
P2,9
P3,3
P4,6
P5,12
P6,15
P7,15
P8,12
P9,17
P10,18
P11,5
P12,6
P13,13
P14,4
P15,6
P16,3
P17,12
P18,16
P19,8
P20,3
P21,10
P22,3
P23,3
P24,7
P25,5
P26,5
P27,13
P28,5
P29,20
P30,14
P31,16
P32,3
P33,14
P34,5
P35,20
P36,1
P37,14
P38,14
P39,15
P40,13
P41,17
P42,8
P43,15
P44,5
P45,5
P46,4
P47,13
P48,19
P49,12
P50,20
P51,19
P52,2
P53,11
P54,7
P55,4
P56,12
P57,10
P58,17
P59,12
P60,2
P61,13
P62,6
P63,2
P64,7
P65,5
P66,8
P67,3
P68,9
P69,3
P70,5
P71,20
P72,15
P73,18
P74,9
P75,16
P76,4
P77,8
P78,9
P79,16
P80,18
P81,2
P82,10
P83,13
P84,16
P85,17
P86,10
P87,20
P88,2
P89,13
P90,4
P91,17
P92,16
P93,7
P94,9
P95,14
P96,14
P97,13
P98,2
P99,1
