page,burst_time
P0,17
P1,14
P2,10
P3,12
P4,10
P5,6
P6,18
P7,9
P8,4
P9,1
P10,8
P11,13
P12,14
P13,9
P14,17
P15,11
P16,13
P17,5
P18,18
P19,2
P20,5
P21,7
P22,5
P23,18
P24,18
P25,7
P26,11
P27,18
P28,4
P29,3
P30,10
P31,14
P32,3
P33,17
P34,16
P35,20
P36,5
P37,14
P38,17
P39,11
P40,1
P41,14
P42,12
P43,19
P44,2
P45,12
P46,2
P47,16
P48,12
P49,19
P50,1
P51,13
P52,8
P53,4
P54,18
P55,7
P56,8
P57,17
P58,12
P59,2
P60,9
P61,3
P62,9
P63,7
P64,20
P65,18
P66,18
P67,18
P68,5
P69,9
P70,10
P71,12
P72,11
P73,6
P74,11
P75,4
P76,19
P77,19
P78,9
P79,11
P80,1
P81,2
P82,12
P83,1
P84,15
P85,9
P86,16
P87,2
P88,7
P89,10
P90,9
P91,3
P92,16
P93,1
P94,20
P95,19
P96,17
P97,5
P98,13
P99,16
