page,burst_time
P0,12
P1,4
P2,20
P3,15
P4,1
P5,4
P6,15
P7,15
P8,7
P9,13
P10,12
P11,7
P12,15
P13,9
P14,5
P15,14
P16,15
P17,15
P18,8
P19,4
P20,2
P21,2
P22,2
P23,17
P24,17
P25,8
P26,9
P27,15
P28,8
P29,6
P30,4
P31,16
P32,14
P33,13
P34,6
P35,18
P36,9
P37,2
P38,5
P39,16
P40,3
P41,14
P42,16
P43,17
P44,5
P45,13
P46,10
P47,6
P48,8
P49,10
P50,18
P51,20
P52,16
P53,13
P54,7
P55,2
P56,6
P57,20
P58,6
P59,11
P60,18
P61,13
P62,10
P63,8
P64,17
P65,20
P66,5
P67,7
P68,16
P69,20
P70,16
P71,5
P72,5
P73,13
P74,20
P75,5
P76,10
P77,15
P78,7
P79,17
P80,16
P81,11
P82,13
P83,6
P84,16
P85,10
P86,3
P87,11
P88,9
P89,15
P90,11
P91,1
P92,14
P93,8
P94,8
P95,15
P96,19
P97,16
P98,20
P99,2
