page,burst_time
P0,14
P1,16
P2,19
P3,11
P4,13
P5,17
P6,10
P7,9
P8,14
P9,12
P10,12
P11,9
P12,11
P13,6
P14,8
P15,7
P16,18
P17,20
P18,12
P19,8
P20,16
P21,16
P22,14
P23,13
P24,14
P25,16
P26,20
P27,19
P28,1
P29,3
P30,2
P31,16
P32,7
P33,4
P34,20
P35,6
P36,7
P37,5
P38,11
P39,11
P40,4
P41,5
P42,4
P43,3
P44,6
P45,6
P46,15
P47,4
P48,11
P49,20
P50,2
P51,17
P52,8
P53,17
P54,8
P55,6
P56,6
P57,18
P58,6
P59,1
P60,18
P61,8
P62,20
P63,11
P64,16
P65,17
P66,6
P67,20
P68,10
P69,8
P70,12
P71,8
P72,19
P73,8
P74,7
P75,16
P76,8
P77,13
P78,8
P79,19
P80,18
P81,10
P82,17
P83,18
P84,7
P85,19
P86,11
P87,2
P88,6
P89,13
P90,2
P91,18
P92,3
P93,8
P94,1
P95,11
P96,11
P97,11
P98,14
P99,14
