page,burst_time
P0,19
P1,13
P2,6
P3,7
P4,9
P5,5
P6,4
P7,7
P8,2
P9,18
P10,10
P11,11
P12,11
P13,2
P14,6
P15,14
P16,3
P17,10
P18,9
P19,13
P20,16
P21,3
P22,18
P23,3
P24,18
P25,8
P26,8
P27,18
P28,9
P29,19
P30,6
P31,10
P32,2
P33,16
P34,19
P35,13
P36,16
P37,8
P38,18
P39,14
P40,17
P41,15
P42,3
P43,15
P44,7
P45,8
P46,16
P47,11
P48,7
P49,12
P50,20
P51,1
P52,19
P53,19
P54,17
P55,14
P56,2
P57,11
P58,19
P59,6
P60,18
P61,8
P62,20
P63,11
P64,12
P65,6
P66,7
P67,10
P68,14
P69,12
P70,15
P71,19
P72,3
P73,17
P74,4
P75,17
P76,1
P77,7
P78,19
P79,18
P80,6
P81,15
P82,15
P83,15
P84,17
P85,5
P86,18
P87,18
P88,16
P89,15
P90,1
P91,10
P92,9
P93,6
P94,1
P95,15
P96,11
P97,11
P98,7
P99,2
