page,burst_time
P0,9
P1,15
P2,8
P3,4
P4,3
P5,7
P6,16
P7,20
P8,4
P9,9
P10,20
P11,11
P12,20
P13,16
P14,10
P15,1
P16,17
P17,6
P18,7
P19,17
P20,17
P21,10
P22,15
P23,16
P24,12
P25,1
P26,4
P27,8
P28,20
P29,14
P30,18
P31,12
P32,20
P33,9
P34,20
P35,6
P36,18
P37,8
P38,8
P39,7
P40,13
P41,3
P42,6
P43,9
P44,1
P45,1
P46,20
P47,3
P48,10
P49,14
P50,12
P51,9
P52,5
P53,8
P54,19
P55,18
P56,14
P57,7
P58,13
P59,7
P60,19
P61,15
P62,20
P63,5
P64,6
P65,3
P66,8
P67,20
P68,5
P69,18
P70,8
P71,15
P72,17
P73,9
P74,1
P75,8
P76,13
P77,3
P78,18
P79,10
P80,2
P81,12
P82,15
P83,12
P84,1
P85,16
P86,6
P87,6
P88,16
P89,18
P90,10
P91,14
P92,10
P93,15
P94,18
P95,10
P96,14
P97,3
P98,14
P99,3
