page,burst_time
P0,13
P1,7
P2,14
P3,15
P4,5
P5,10
P6,7
P7,1
P8,9
P9,16
P10,5
P11,7
P12,18
P13,1
P14,2
P15,5
P16,4
P17,11
P18,4
P19,9
P20,18
P21,6
P22,13
P23,6
P24,7
P25,4
P26,18
P27,20
P28,1
P29,10
P30,4
P31,16
P32,6
P33,13
P34,3
P35,3
P36,9
P37,18
P38,19
P39,19
P40,7
P41,9
P42,7
P43,2
P44,2
P45,20
P46,7
P47,16
P48,9
P49,2
P50,16
P51,9
P52,14
P53,20
P54,20
P55,20
P56,15
P57,8
P58,5
P59,4
P60,17
P61,10
P62,13
P63,16
P64,16
P65,9
P66,4
P67,11
P68,17
P69,10
P70,18
P71,14
P72,18
P73,19
P74,15
P75,11
P76,12
P77,16
P78,17
P79,11
P80,6
P81,17
P82,12
P83,7
P84,6
P85,16
P86,11
P87,4
P88,13
P89,5
P90,5
P91,19
P92,10
P93,9
P94,7
P95,14
P96,12
P97,1
P98,18
P99,15
